iter	Passed	Remaining
0	59	59925
1	60	30365
2	61	20497
3	62	15556
4	63	12588
5	64	10622
6	65	9222
7	67	8384
8	68	7543
9	69	6858
10	70	6302
11	70	5822
12	71	5408
13	71	5052
14	72	4757
15	73	4503
16	74	4282
17	74	4085
18	75	3907
19	76	3747
20	77	3613
21	79	3542
22	80	3417
23	80	3293
24	81	3178
25	81	3071
26	82	2971
27	82	2879
28	83	2799
29	84	2721
30	84	2645
31	85	2576
32	85	2516
33	86	2461
34	90	2486
35	90	2433
36	91	2385
37	93	2374
38	94	2323
39	94	2275
40	95	2229
41	96	2191
42	96	2157
43	97	2120
44	98	2082
45	99	2055
46	99	2019
47	100	1984
48	100	1951
49	101	1919
50	101	1889
51	102	1859
52	102	1831
53	102	1803
54	103	1777
55	103	1752
56	104	1727
57	104	1704
58	105	1681
59	106	1661
60	107	1651
61	111	1681
62	111	1662
63	112	1642
64	112	1624
65	113	1607
66	114	1588
67	114	1571
68	115	1553
69	115	1536
70	116	1521
71	116	1506
72	117	1491
73	118	1476
74	118	1462
75	119	1448
76	119	1435
77	121	1432
78	121	1419
79	123	1419
80	124	1411
81	125	1403
82	125	1389
83	126	1378
84	126	1366
85	127	1355
86	128	1344
87	128	1333
88	129	1322
89	129	1311
90	130	1301
91	130	1290
92	131	1280
93	132	1276
94	133	1274
95	134	1268
96	135	1258
97	135	1251
98	136	1241
99	136	1231
100	137	1222
101	137	1213
102	138	1204
103	138	1195
104	139	1186
105	139	1179
106	140	1171
107	141	1164
108	141	1156
109	142	1150
110	142	1143
111	143	1135
112	143	1128
113	144	1122
114	144	1115
115	145	1108
116	145	1101
117	149	1119
118	150	1113
119	150	1107
120	151	1101
121	152	1094
122	152	1089
123	153	1083
124	153	1077
125	154	1071
126	154	1064
127	155	1058
128	156	1053
129	156	1048
130	157	1042
131	157	1037
132	158	1032
133	158	1027
134	159	1021
135	160	1016
136	160	1012
137	161	1009
138	163	1015
139	164	1010
140	165	1005
141	165	999
142	165	994
143	166	989
144	167	985
145	167	980
146	168	976
147	168	971
148	169	967
149	169	962
150	170	957
151	170	953
152	171	948
153	171	944
154	172	940
155	173	936
156	173	932
157	174	928
158	174	924
159	175	921
160	176	917
161	177	919
162	178	917
163	179	913
164	179	909
165	180	905
166	180	902
167	181	898
168	182	894
169	182	891
170	183	889
171	184	885
172	184	882
173	185	878
174	185	875
175	186	872
176	186	868
177	187	865
178	187	862
179	188	859
180	189	855
181	189	853
182	190	851
183	191	850
184	192	847
185	192	844
186	193	840
187	194	838
188	194	835
189	195	832
190	195	829
191	196	826
192	196	823
193	197	820
194	197	817
195	198	814
196	199	811
197	199	808
198	200	805
199	200	802
200	201	799
201	201	796
202	202	793
203	202	790
204	203	787
205	203	786
206	204	785
207	205	782
208	206	780
209	206	777
210	207	775
211	207	772
212	208	770
213	208	767
214	209	765
215	210	762
216	210	760
217	212	761
218	213	760
219	213	757
220	214	755
221	214	753
222	215	750
223	215	748
224	216	745
225	217	743
226	219	747
